Unnamed: 0,Make,Model,Variant,Displacement,Cylinders,Valves_Per_Cylinder,Drivetrain,Engine_Location,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,Body_Type,Doors,ARAI_Certified_Mileage,ARAI_Certified_Mileage_for_CNG,Gears,Ground_Clearance,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Rear_Track,Power_Steering,Power_Windows,Power_Seats,Keyless_Entry,Power,Torque,Seating_Capacity,Seats_Material,Type,Start_/_Stop_Button,Audiosystem,Basic_Warranty,Bluetooth,Boot-lid_Opener,Boot_Space,Central_Locking,Child_Safety_Locks,Distance_to_Empty,Engine_Malfunction_Light,Extended_Warranty,FM_Radio,Fuel-lid_Opener,Fuel_Gauge,Handbrake,Instrument_Console,Low_Fuel_Warning,Multifunction_Display,Sun_Visor,Third_Row_AC_Vents,Auto-Dimming_Rear-View_Mirror,Gear_Indicator,Engine_Immobilizer,Seat_Back_Pockets,ABS_(Anti-lock_Braking_System),Airbags,Door_Ajar_Warning,EBD_(Electronic_Brake-force_Distribution),Fasten_Seat_Belt_Warning,Gear_Shift_Reminder,Number_of_Airbags,Parking_Assistance,Key_Off_Reminder,Infotainment_Screen,Multifunction_Steering_Wheel,EBA_(Electronic_Brake_Assist),Seat_Height_Adjustment,Navigation_System,Second_Row_AC_Vents,ESP_(Electronic_Stability_Program),Turbocharger,ISOFIX_(Child-Seat_Mount),Rain_Sensing_Wipers,Paddle_Shifters,Leather_Wrapped_Steering,price
258,Maruti Suzuki,Mercedes-Benz Cla-Class,200 D Sport,2143,4,4.0,FWD (Front Wheel Drive),"Front, Transverse",Injection,56.0,Diesel,Sedan,4,17.9,,5,160.0,Ventilated Disc,Ventilated Disc,McPherson Strut,Four-link,1547 ,Electric_Power_Steering,All_Power_Windows,Power seats,Smart Key,134.14,300,5,Leather,Automatic,1,DVD Player with USB & Aux-in,3 years / Unlimited Kms,1,Remote_Internal_Boot_lid,470.0,1,1,1,1,4th year /with (absolutely no mileage restriction),1,Internal,Analog,Automatic,Analog + Digital,1,1,Driver_Front_sun_Visor,Not Applicable,0,1,1,1,1,"Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Curtain airbags, Front passenger side airbag",1,1,1,1,6,Rear sensors with camera,1,Touch Sensitive_Parking_Assistance,1,1,Electric Adjustment with Memory,1,1,1,1,1,1,1,1,51786
259,Skoda,Kodiaq,Style 2.0 Tdi 4X4 At,1968,4,4.0,FWD (Front Wheel Drive),"Front, Transverse",Injection,66.0,Diesel,SUV,4,18.19,,6,149.0,Ventilated Disc,Ventilated Disc,McPherson suspension with lower triangular links and torsion stabilizer,"Multi-element axle, with one longitudinal and three transverse links, with torsion stabiliser",1540 ,Electro_Hydraulic_Steering,All_Power_Windows,1,Smart Key,174.58,350,5,Leather,Automatic,1,CD/MP3/DVD Player with USB & Aux-in,3 years / Unlimited Kms,1,Remote_Internal_Boot_lid,625.0,1,1,1,1,2 years /100000 Kms (years/distance whichever comes first),1,Internal,Digital,Automatic,Analog + Digital,1,1,Driver_Front_sun_Visor,Not Applicable,1,1,1,1,1,"Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Curtain airbags, Rear passenger side airbags",1,1,1,1,8,Front and rear sensors with camera,1,Touch Sensitive_Parking_Assistance,1,1,Electric Adjustment with Memory,1,1,1,1,1,1,1,1,46194
260,Skoda,Kodiaq,Laurin And Klement,1968,4,4.0,FWD (Front Wheel Drive),"Front, Transverse",Injection,66.0,Diesel,SUV,4,18.19,,6,149.0,Ventilated Disc,Ventilated Disc,McPherson suspension with lower triangular links and torsion stabilizer,"Multi-element axle, with one longitudinal and three transverse links, with torsion stabiliser",1540 ,Electro_Hydraulic_Steering,All_Power_Windows,1,Smart Key,145.98,340,5,Leather,Automatic,1,CD/MP3/DVD Player with USB & Aux-in,3 years / Unlimited Kms,1,Remote_Internal_Boot_lid,625.0,1,1,1,1,2 years /100000 Kms (years/distance whichever comes first),1,Internal,Digital,Automatic,Analog + Digital,1,1,Driver_Front_sun_Visor,Not Applicable,1,1,1,1,1,"Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Curtain airbags, Rear passenger side airbags",1,1,1,1,9,Front and rear sensors with camera,1,Touch Sensitive_Parking_Assistance,1,1,Electric Adjustment with Memory,1,1,1,1,1,1,1,1,51500
261,Skoda,Kodiaq,Corporate Edition,1968,4,4.0,FWD (Front Wheel Drive),"Front, Transverse",Injection,66.0,Diesel,SUV,4,18.19,,6,149.0,Ventilated Disc,Ventilated Disc,McPherson suspension with lower triangular links and torsion stabilizer,"Multi-element axle, with one longitudinal and three transverse links, with torsion stabiliser",1540 ,Electro_Hydraulic_Steering,All_Power_Windows,1,Smart Key,174.58,350,5,Leather,Automatic,1,CD/MP3/DVD Player with USB & Aux-in,3 years / Unlimited Kms,1,Remote_Internal_Boot_lid,625.0,1,1,1,1,2 years /100000 Kms (years/distance whichever comes first),1,Internal,Digital,Automatic,Analog + Digital,1,1,Driver_Front_sun_Visor,Not Applicable,1,1,1,1,1,"Driver head airbag, Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Curtain airbags",1,1,1,1,9,Front and rear sensors with camera,1,Touch Sensitive_Parking_Assistance,1,1,Electric Adjustment with Memory,1,1,1,1,1,1,1,1,46194
262,Dc,Avanti,Standard,2000,4,4.0,RWD (Rear Wheel Drive),"Rear Mid, Transverse",Injection,60.0,Petrol,Coupe,2,10.0,,6,170.0,Ventilated Disc,Ventilated Disc,Double wishbone,Double wishbone,1650 ,Electric_Power_Steering,Front_Power_Windows,1,Smart Key,246.58,340,2,Fabric,Manual,1,CD/MP3 Player,2 years / Unlimited Kms,1,Internal_Boot_lid,350.0,1,0,1,1,"3rd/4th year/up to 80,000 Kms (whichever comes first)",1,Internal,Analog,Manual,Analog + Digital,1,1,Driver_Front_sun_Visor,Not Applicable,0,0,0,0,1,Driver frontal airbag,1,0,1,0,3,No_Parking_Assistance,1,Touch Sensitive_Parking_Assistance,0,0,Manual Adjustment,0,0,0,1,0,0,0,1,47703
263,Audi,Q3,30 Tdi Premium Fwd,1968,4,4.0,FWD (Front Wheel Drive),"Front, Transverse",Injection,64.0,Diesel,SUV,5,15.73,,7,170.0,Ventilated Disc,Ventilated Disc,"Mac Pherson type with coil spring, stabiliser bar and double acting shock absorber","Four-link rear suspension with separate spring/shock absorber arrangement, subframe, aluminum wheel",1575 ,Electric_Power_Steering,Front_Power_Windows,"Yes, with memory",Smart Key,145.98,340,5,Leather,Manual,1,DVD Player with USB & Aux-in,2 years / Unlimited Kms,0,Internal_Boot_lid,460.0,1,1,1,1,3rd/4th year( regardless of its mileage),1,Internal,Digital,Manual,Analog + Digital,1,1,Driver_Front_sun_Visor,Not Applicable,1,1,1,1,1,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag",1,1,1,1,6,Rear sensors with camera,1,Touch Sensitive_Parking_Assistance,1,1,Electric Adjustment with Memory,1,1,1,1,1,1,0,1,51480
264,Audi,Q3,35 Tdi Quattro Premium Plus,1968,4,4.0,AWD (All Wheel Drive),"Front, Transverse",Injection,64.0,Diesel,SUV,5,15.73,,7,170.0,Ventilated Disc,Ventilated Disc,"McPherson struts with aluminum lower wishbones, steel pivot bearings, aluminum subframe, tubular ant","Four-link rear suspension with separate spring/shock absorber arrangement, subframe, aluminum wheel",1575 ,Electric_Power_Steering,All_Power_Windows,1,Smart Key,174.58,380,5,Leather,Automatic,1,DVD Player with USB & Aux-in,2 years / Unlimited Kms,1,Internal_Boot_lid,460.0,1,1,1,1,3rd/4th year( regardless of its mileage),1,Internal,Digital,Manual,Analog + Digital,1,1,Driver_Front_sun_Visor,Not Applicable,1,1,1,1,1,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag",1,1,1,1,6,Rear sensors with camera,1,Touch Sensitive_Parking_Assistance,1,1,Electric Adjustment with Memory,1,1,1,1,0,1,0,1,55890
265,Audi,Q3,35 Tdi Quattro Technology,1968,4,4.0,AWD (All Wheel Drive),"Front, Transverse",Injection,64.0,Diesel,SUV,5,15.73,,7,170.0,Ventilated Disc,Ventilated Disc,"Mac Pherson type with coil spring, stabiliser bar and double acting shock absorber","Double wishbones, two-way adjustable VPS gas-hydraulic shock absorbers, pushrod operated",1575 ,Electric_Power_Steering,All_Power_Windows,"Yes, with memory",Smart Key,174.58,380,5,Leather,Automatic,1,DVD Player with USB & Aux-in,2 years / Unlimited Kms,1,Internal_Boot_lid,460.0,1,1,1,1,3rd/4th year( regardless of its mileage),1,Internal,Digital,Manual,Analog + Digital,1,1,Driver_Front_sun_Visor,Not Applicable,1,1,1,1,1,"Driver frontal airbag, Curtain airbags, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag",1,1,1,1,6,Rear sensors with camera,1,Touch Sensitive_Parking_Assistance,1,1,Electric Adjustment with Memory,1,1,1,1,1,1,0,1,61054
266,Audi,Q3,30 Tfsi Premium,1395,4,4.0,FWD (Front Wheel Drive),"Front, Transverse",Injection,64.0,Petrol,SUV,5,16.9,,7,170.0,Ventilated Disc,Ventilated Disc,"Mac Pherson type with coil spring, stabiliser bar and double acting shock absorber","Double wishbones, two-way adjustable VPS gas-hydraulic shock absorbers, pushrod operated",1575 ,Electric_Power_Steering,All_Power_Windows,"Yes, with memory",Smart Key,147.95,250,5,Leather,Automatic,1,DVD Player with USB & Aux-in,2 years / Unlimited Kms,1,Internal_Boot_lid,460.0,1,1,1,1,3rd/4th year( regardless of its mileage),1,Internal,Digital,Manual,Analog + Digital,1,1,Driver_Front_sun_Visor,Not Applicable,1,1,1,1,1,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Curtain airbags, Drive side airbag",1,1,1,1,6,Rear sensors with camera,1,Touch Sensitive_Parking_Assistance,1,1,Electric Adjustment with Memory,1,1,1,1,1,1,0,1,48954
267,Mini,Cooper 5 Door,Cooper D,1496,3,4.0,FWD (Front Wheel Drive),"Front, Transverse",Injection,44.0,Petrol,Hatchback,5,21.15,,6,211.0,Ventilated Disc,Ventilated Disc,single joint spring-strut front axle,multiple control-arm rear axle,1540 ,Hydraulic_Power_Steering,All_Power_Windows,Power seats,Smart Key,114.41,270,5,Leather,Automatic,0,CD Player with USB & Aux-in,2 years / Unlimited Kms,1,Internal_Boot_lid,278.0,0,1,0,0,"3rd/4th year/up to 80,000 Kms (whichever comes first)",0,Manual,Digital,Automatic,Analog,1,1,Driver_Front_sun_Visor,,0,0,1,0,1,"Driver frontal airbag, Front passenger frontal airbag",1,1,1,0,2,No_Parking_Assistance,1,No_Infotainment_Screen,1,0,Electric Adjustment,1,0,1,1,0,0,0,1,50400
